study,dataset,condition,view,arm,budget,reference_only,n_views,mean_definition,rows,macro_f1,stage_weighted_error,normal_false_attacks,movement_any_attack_recall,negative_support,negative_flags,negative_flag_rate,movement_support,movement_exact_recall,movement_warning_recall,movement_f1,movement_missed_warning_count,exfiltration_support,exfiltration_exact_recall,exfiltration_warning_recall,exfiltration_f1,exfiltration_missed_warning_count,context_selected_fraction,selected_context_harm_count,selected_context_help_count,n,errors,weighted_error_total,benign_false_alerts,movement_missed,exfiltration_missed,movement_as_exfiltration,mean_spend,mean_elapsed,query_rate,mean_queries,mean_delivered,seconds,normal_false_attack_rate,test_rows_with_current_fingerprint_in_training,training_rows_ending_after_first_test_start,positive,precision,recall,f1,ap,roc_auc,other_label_flags,other_label_flag_rate,target_cost_error
PX083,casino,execve_absent,,target_cost_gate,,False,1,same-event perturbation mean; one view unless random-loss condition,920,,,,,903,49,0.05426356589147287,,,,,,,,,,,0.6945652173913044,,,,,,,,,,,,,,,,,,,17,0.234375,0.8823529411764706,0.37037037037037035,0.8388253333533772,0.9774607517425575,49,0.05426356589147287,0.06195652173913044
PX083,casino,proctitle_absent,,current,,False,1,same-event perturbation mean; one view unless random-loss condition,920,,,,,903,5,0.005537098560354375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,0.7368421052631579,0.8235294117647058,0.7777777777777778,0.8080980441354378,0.9476255618526481,5,0.005537098560354375,0.01847826086956522
PX083,casino,proctitle_absent,,context,,False,1,same-event perturbation mean; one view unless random-loss condition,920,,,,,903,8,0.008859357696566999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,0.6363636363636364,0.8235294117647058,0.717948717948718,0.7788409116108823,0.9665819816298612,8,0.008859357696566999,0.021739130434782608
PX083,casino,proctitle_absent,,fixed_fusion,,False,1,same-event perturbation mean; one view unless random-loss condition,920,,,,,903,5,0.005537098560354375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,0.7368421052631579,0.8235294117647058,0.7777777777777778,0.7816370164036925,0.9615660217575401,5,0.005537098560354375,0.01847826086956522
PX083,casino,proctitle_absent,,mixed_dropout,,False,1,same-event perturbation mean; one view unless random-loss condition,920,,,,,903,43,0.047619047619047616,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,0.24561403508771928,0.8235294117647058,0.3783783783783784,0.7978396102376261,0.9542049377890691,43,0.047619047619047616,0.059782608695652176
PX083,casino,proctitle_absent,,confidence_gate,,False,1,same-event perturbation mean; one view unless random-loss condition,920,,,,,903,5,0.005537098560354375,,,,,,,,,,,0.7010869565217391,,,,,,,,,,,,,,,,,,,17,0.7368421052631579,0.8235294117647058,0.7777777777777778,0.8230116091915255,0.9596768940134193,5,0.005537098560354375,0.01847826086956522
PX083,casino,proctitle_absent,,ordinary_gate,,False,1,same-event perturbation mean; one view unless random-loss condition,920,,,,,903,5,0.005537098560354375,,,,,,,,,,,0.6206521739130435,,,,,,,,,,,,,,,,,,,17,0.7368421052631579,0.8235294117647058,0.7777777777777778,0.7840443550481914,0.9592208976613901,5,0.005537098560354375,0.01847826086956522
PX083,casino,proctitle_absent,,target_cost_gate,,False,1,same-event perturbation mean; one view unless random-loss condition,920,,,,,903,8,0.008859357696566999,,,,,,,,,,,0.475,,,,,,,,,,,,,,,,,,,17,0.6363636363636364,0.8235294117647058,0.717948717948718,0.7851889456523555,0.9575271969252817,8,0.008859357696566999,0.021739130434782608
PX083,casino,syscall_absent,,current,,False,1,same-event perturbation mean; one view unless random-loss condition,920,,,,,903,55,0.06090808416389812,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,0.22535211267605634,0.9411764705882353,0.36363636363636365,0.8738014658637069,0.9504918246368315,55,0.06090808416389812,0.0641304347826087
PX083,casino,syscall_absent,,context,,False,1,same-event perturbation mean; one view unless random-loss condition,920,,,,,903,14,0.015503875968992248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,0.5172413793103449,0.8823529411764706,0.6521739130434783,0.876221517195148,0.948798123900723,14,0.015503875968992248,0.02391304347826087
PX083,casino,syscall_absent,,fixed_fusion,,False,1,same-event perturbation mean; one view unless random-loss condition,920,,,,,903,25,0.02768549280177187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,0.375,0.8823529411764706,0.5263157894736842,0.8760245665331206,0.949514689596769,25,0.02768549280177187,0.035869565217391305
PX083,casino,syscall_absent,,mixed_dropout,,False,1,same-event perturbation mean; one view unless random-loss condition,920,,,,,903,4,0.004429678848283499,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,0.7777777777777778,0.8235294117647058,0.8,0.8747872686228041,0.9543352224610775,4,0.004429678848283499,0.017391304347826087
PX083,casino,syscall_absent,,confidence_gate,,False,1,same-event perturbation mean; one view unless random-loss condition,920,,,,,903,25,0.02768549280177187,,,,,,,,,,,0.8913043478260869,,,,,,,,,,,,,,,,,,,17,0.375,0.8823529411764706,0.5263157894736842,0.8694596140843605,0.9486678392287148,25,0.02768549280177187,0.035869565217391305
PX083,casino,syscall_absent,,ordinary_gate,,False,1,same-event perturbation mean; one view unless random-loss condition,920,,,,,903,55,0.06090808416389812,,,,,,,,,,,0.875,,,,,,,,,,,,,,,,,,,17,0.22535211267605634,0.9411764705882353,0.36363636363636365,0.8700934228317595,0.9487329815647189,55,0.06090808416389812,0.0641304347826087
PX083,casino,syscall_absent,,target_cost_gate,,False,1,same-event perturbation mean; one view unless random-loss condition,920,,,,,903,14,0.015503875968992248,,,,,,,,,,,0.85,,,,,,,,,,,,,,,,,,,17,0.5172413793103449,0.8823529411764706,0.6521739130434783,0.876543371177009,0.9486026968927105,14,0.015503875968992248,0.02391304347826087
PX083,casino,path_absent,,current,,False,1,same-event perturbation mean; one view unless random-loss condition,920,,,,,903,7,0.007751937984496124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,0.6818181818181818,0.8823529411764706,0.7692307692307693,0.8712338569866902,0.9558334961891732,7,0.007751937984496124,0.016304347826086956
PX083,casino,path_absent,,context,,False,1,same-event perturbation mean; one view unless random-loss condition,920,,,,,903,21,0.023255813953488372,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,0.43243243243243246,0.9411764705882353,0.5925925925925926,0.8698162798197789,0.9760927626864699,21,0.023255813953488372,0.02717391304347826
PX083,casino,path_absent,,fixed_fusion,,False,1,same-event perturbation mean; one view unless random-loss condition,920,,,,,903,14,0.015503875968992248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,0.5172413793103449,0.8823529411764706,0.6521739130434783,0.8665166066259247,0.969578529086053,14,0.015503875968992248,0.02391304347826087
PX083,casino,path_absent,,mixed_dropout,,False,1,same-event perturbation mean; one view unless random-loss condition,920,,,,,903,29,0.03211517165005537,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,0.3409090909090909,0.8823529411764706,0.4918032786885246,0.8558856975687765,0.9764184743664908,29,0.03211517165005537,0.04021739130434782
PX083,casino,path_absent,,confidence_gate,,False,1,same-event perturbation mean; one view unless random-loss condition,920,,,,,903,14,0.015503875968992248,,,,,,,,,,,0.2576086956521739,,,,,,,,,,,,,,,,,,,17,0.5172413793103449,0.8823529411764706,0.6521739130434783,0.8625795550490507,0.9565500618852192,14,0.015503875968992248,0.02391304347826087
PX083,casino,path_absent,,ordinary_gate,,False,1,same-event perturbation mean; one view unless random-loss condition,920,,,,,903,7,0.007751937984496124,,,,,,,,,,,0.1793478260869565,,,,,,,,,,,,,,,,,,,17,0.6818181818181818,0.8823529411764706,0.7692307692307693,0.8547916953590197,0.9562894925412024,7,0.007751937984496124,0.016304347826086956
PX083,casino,path_absent,,target_cost_gate,,False,1,same-event perturbation mean; one view unless random-loss condition,920,,,,,903,21,0.023255813953488372,,,,,,,,,,,0.14891304347826087,,,,,,,,,,,,,,,,,,,17,0.43243243243243246,0.9411764705882353,0.5925925925925926,0.8685481231050407,0.9570060582372484,21,0.023255813953488372,0.02717391304347826
