study,contrast,condition,budget,omitted_seed,metric,baseline,candidate,delta,f1_up_exfil_warning_down,f1_down_exfil_warning_up,sign_disagreement
PX082,current_history_mixed_minus_past,common_anchor,,20260923,benign_false_alert_count,13.0,46.0,33.0,False,False,False
PX082,current_history_mixed_minus_past,common_anchor,,20260924,macro_f1,0.7634540380909682,0.8059687989476346,0.04251476085666639,False,False,False
PX082,current_history_mixed_minus_past,common_anchor,,20260924,exfil_warning_recall,0.6681184668989547,0.8893728222996515,0.22125435540069688,False,False,False
PX082,current_history_mixed_minus_past,common_anchor,,20260924,movement_exact_recall,0.3333333333333333,0.6388888888888888,0.3055555555555556,False,False,False
PX082,current_history_mixed_minus_past,common_anchor,,20260924,benign_false_alert_rate,0.0001612936793689775,0.0005411142791733439,0.00037982059980436645,False,False,False
PX082,current_history_mixed_minus_past,common_anchor,,20260924,exfil_to_benign_count,571.5,190.5,-381.0,False,False,False
PX082,current_history_mixed_minus_past,common_anchor,,20260924,benign_false_alert_count,15.5,52.0,36.5,False,False,False
PX082,current_history_mixed_minus_past,common_anchor,,20260925,macro_f1,0.7543594910199347,0.7858315391034152,0.03147204808348042,False,False,False
PX082,current_history_mixed_minus_past,common_anchor,,20260925,exfil_warning_recall,0.6686991869918699,0.7784552845528456,0.10975609756097565,False,False,False
PX082,current_history_mixed_minus_past,common_anchor,,20260925,movement_exact_recall,0.2777777777777778,0.5555555555555556,0.2777777777777778,False,False,False
PX082,current_history_mixed_minus_past,common_anchor,,20260925,benign_false_alert_rate,0.00015088763553872087,0.00046827197236154765,0.0003173843368228268,False,False,False
PX082,current_history_mixed_minus_past,common_anchor,,20260925,exfil_to_benign_count,570.5,381.5,-189.0,False,False,False
PX082,current_history_mixed_minus_past,common_anchor,,20260925,benign_false_alert_count,14.5,45.0,30.5,False,False,False
PX082,chronological_history_minus_current,common_anchor,,20260923,macro_f1,0.7391141140616294,0.7567772857585235,0.017663171696894187,True,False,True
PX082,chronological_history_minus_current,common_anchor,,20260923,exfil_warning_recall,0.673054587688734,0.6689895470383275,-0.004065040650406582,True,False,True
PX082,chronological_history_minus_current,common_anchor,,20260923,movement_exact_recall,0.2777777777777778,0.2777777777777778,0.0,True,False,True
PX082,chronological_history_minus_current,common_anchor,,20260923,benign_false_alert_rate,0.00024974505192615874,0.00013527856979333596,-0.00011446648213282276,True,False,True
PX082,chronological_history_minus_current,common_anchor,,20260923,exfil_to_benign_count,563.0,570.0,7.0,True,False,True
PX082,chronological_history_minus_current,common_anchor,,20260923,benign_false_alert_count,24.0,13.0,-11.0,True,False,True
PX082,chronological_history_minus_current,common_anchor,,20260924,macro_f1,0.7362989359544486,0.7634540380909682,0.027155102136519615,True,False,True
PX082,chronological_history_minus_current,common_anchor,,20260924,exfil_warning_recall,0.6724738675958188,0.6681184668989547,-0.004355400696864076,True,False,True
PX082,chronological_history_minus_current,common_anchor,,20260924,movement_exact_recall,0.2777777777777778,0.3333333333333333,0.05555555555555555,True,False,True
PX082,chronological_history_minus_current,common_anchor,,20260924,benign_false_alert_rate,0.00029136922724718513,0.0001612936793689775,-0.00013007554787820765,True,False,True
PX082,chronological_history_minus_current,common_anchor,,20260924,exfil_to_benign_count,564.0,571.5,7.5,True,False,True
PX082,chronological_history_minus_current,common_anchor,,20260924,benign_false_alert_count,28.0,15.5,-12.5,True,False,True
PX082,chronological_history_minus_current,common_anchor,,20260925,macro_f1,0.7340233700871166,0.7543594910199347,0.02033612093281817,True,False,True
