dataset,seed,scenario,drop_rate,arm,n,tp,fp,tn,fn,precision,recall,f1,false_positive_rate,false_positives_per_10000_benign_nodes,average_precision,accuracy,predicted_positive
cadets,101,drop_0.5_mask_20260920,0.5,prior_type_rarity,357173,0,85,344242,12846,0.0,0.0,0.0,0.0002468583642874361,2.4685836428743606,0.09904588993763214,0.9637962555960277,85
cadets,101,drop_0.5_mask_20260920,0.5,prior_quality_gate,357173,10,2165,342162,12836,0.004597701149425287,0.0007784524365561264,0.0013314692763464484,0.006287627749203519,62.876277492035186,0.08150076564583579,0.9580007447371441,2175
cadets,101,drop_0.5_mask_20260920,0.5,prior_confidence_selector,357173,10,2184,342143,12836,0.004557885141294439,0.0007784524365561264,0.0013297872340425532,0.006342807854161887,63.428078541618866,0.0815750556175989,0.9579475492268452,2194
cadets,211,drop_0.5_mask_20260920,0.5,local_knn,357173,39,7567,336760,12807,0.005127530896660531,0.003035964502568893,0.003813807940543712,0.02197620285368269,219.7620285368269,0.03505525481637325,0.9429576143773466,7606
cadets,211,drop_0.5_mask_20260920,0.5,mlp_knn,357173,6483,169172,175155,6363,0.03690757450684581,0.5046707146193368,0.06878478098259426,0.49131203768510745,4913.120376851075,0.038627315899671354,0.5085434789303783,175655
cadets,211,drop_0.5_mask_20260920,0.5,gin_knn,357173,6444,150614,193713,6402,0.04102942861872684,0.5016347501167678,0.07585460024484415,0.4374155962210341,4374.1559622103405,0.04246894272053349,0.5603923028896362,157058
cadets,211,drop_0.5_mask_20260920,0.5,quality_gate,357173,6458,151434,192893,6388,0.04090137562384415,0.5027245835279465,0.07564806897117221,0.4397970533823952,4397.970533823952,0.039051643697372684,0.5581356933474815,157892
cadets,211,drop_0.5_mask_20260920,0.5,confidence_selector,357173,6444,150447,193880,6402,0.041073101707554925,0.5016347501167678,0.07592923169373796,0.43693059214061053,4369.305921406105,0.038759929641622906,0.5608598634275267,156891
cadets,211,drop_0.5_mask_20260920,0.5,prior_mlp,357173,11,2244,342083,12835,0.004878048780487805,0.000856297680211739,0.0014568571617773658,0.0065170608171883125,65.17060817188312,0.10237400024441394,0.9577823631685486,2255
cadets,211,drop_0.5_mask_20260920,0.5,prior_gin,357173,11,2217,342110,12835,0.004937163375224416,0.000856297680211739,0.0014594666312856574,0.006438646983826421,64.3864698382642,0.10889762865810414,0.9578579567884471,2228
cadets,211,drop_0.5_mask_20260920,0.5,prior_isolation_forest,357173,3,2312,342015,12843,0.0012958963282937365,0.00023353573096683791,0.0003957522590858123,0.006714547508618261,67.14547508618261,0.08205290114870398,0.9575695811273528,2315
cadets,211,drop_0.5_mask_20260920,0.5,prior_type_rarity,357173,0,85,344242,12846,0.0,0.0,0.0,0.0002468583642874361,2.4685836428743606,0.09904588993763214,0.9637962555960277,85
cadets,211,drop_0.5_mask_20260920,0.5,prior_quality_gate,357173,11,2217,342110,12835,0.004937163375224416,0.000856297680211739,0.0014594666312856574,0.006438646983826421,64.3864698382642,0.08168309459434066,0.9578579567884471,2228
cadets,211,drop_0.5_mask_20260920,0.5,prior_confidence_selector,357173,11,2244,342083,12835,0.004878048780487805,0.000856297680211739,0.0014568571617773658,0.0065170608171883125,65.17060817188312,0.10291162989979212,0.9577823631685486,2255
cadets,307,drop_0.5_mask_20260920,0.5,local_knn,357173,40,8664,335663,12806,0.004595588235294118,0.0031138097462245057,0.0037122969837587007,0.025162127861015838,251.62127861015836,0.03516984747774166,0.9398890733622083,8704
cadets,307,drop_0.5_mask_20260920,0.5,mlp_knn,357173,6468,168209,176118,6378,0.037028343743022836,0.5035030359645025,0.0689835380193363,0.48851527762853336,4885.152776285334,0.03789728694996778,0.5111976549179249,174677
cadets,307,drop_0.5_mask_20260920,0.5,gin_knn,357173,6377,236382,107945,6469,0.026268851000374856,0.4964191187918418,0.04989730247843352,0.6865043984352084,6865.0439843520835,0.04660867057034574,0.3200745857049665,242759
cadets,307,drop_0.5_mask_20260920,0.5,quality_gate,357173,6457,153626,190701,6389,0.040335326049611764,0.5026467382842909,0.07467804705977597,0.44616309496496065,4461.630949649606,0.0385262664651311,0.5519958115535049,160083
cadets,307,drop_0.5_mask_20260920,0.5,confidence_selector,357173,19,123870,220457,12827,0.00015336309115417834,0.0014790596294566403,0.0002779098255750174,0.35974524216805537,3597.4524216805535,0.03782596478784275,0.6172807015087927,123889
