setting,method,shot,seed,group,group_external_id,group_degree,top1,top5,top10,mrr,rank
standard,svd32_graph_embedding,5,13,Lotus Blossom,G0030,21,1.0,1.0,1.0,1.0,1.0
standard,random_uniform,5,13,Stealth Falcon,G0038,16,0.0,0.0,0.0,0.006493506493506494,154.0
standard,frequency_prior,5,13,Stealth Falcon,G0038,16,0.0,0.0,0.0,0.010752688172043012,93.0
standard,overlap_cosine,5,13,Stealth Falcon,G0038,16,1.0,1.0,1.0,1.0,1.0
standard,svd32_graph_embedding,5,13,Stealth Falcon,G0038,16,1.0,1.0,1.0,1.0,1.0
standard,random_uniform,5,13,APT29,G0016,66,0.0,0.0,0.0,0.022222222222222223,45.0
standard,frequency_prior,5,13,APT29,G0016,66,0.0,0.0,0.0,0.06666666666666667,15.0
standard,overlap_cosine,5,13,APT29,G0016,66,1.0,1.0,1.0,1.0,1.0
standard,svd32_graph_embedding,5,13,APT29,G0016,66,1.0,1.0,1.0,1.0,1.0
standard,random_uniform,5,13,Dark Caracal,G0070,12,0.0,0.0,0.0,0.01818181818181818,55.0
standard,frequency_prior,5,13,Dark Caracal,G0070,12,0.0,0.0,0.0,0.009174311926605505,109.0
standard,overlap_cosine,5,13,Dark Caracal,G0070,12,1.0,1.0,1.0,1.0,1.0
